kepid,koi_disposition,koi_period,koi_time0bk,koi_duration
5956656,CONFIRMED,1.224866441,133.20824,1.7086
3109930,CONFIRMED,37.8102649,158.35799,8.733
2854914,CONFIRMED,25.93406406,149.76273,4.6142
2854914,CONFIRMED,83.4463485,158.68061,6.536
3337425,FALSE POSITIVE,7.04710032,139.79737,2.926
3116412,CONFIRMED,12.99204853,136.32016,6.0175
3865567,FALSE POSITIVE,11.11620211,133.100575,4.211
3544689,FALSE POSITIVE,1.922861499,134.658644,3.5734
4037164,FALSE POSITIVE,0.635445336,134.184037,1.8592
3443790,FALSE POSITIVE,1.665784138,133.863028,1.8946
3966912,FALSE POSITIVE,55.6639167,156.35017,23.546
8394721,CONFIRMED,52.09081627,158.744665,8.6388
11607193,FALSE POSITIVE,7.1548608,266.04847,7.694
1161345,CANDIDATE,4.28746668,262.06245,1.5693
10227501,FALSE POSITIVE,2.002779769,261.95791,2.231
2854698,CONFIRMED,8.18739443,260.86931,3.0472
2854698,CONFIRMED,76.0498163,161.71445,7.158
8559644,CONFIRMED,3.341799486,141.35472,2.9254
6032981,FALSE POSITIVE,3.3226948,134.444,3.568
5866099,FALSE POSITIVE,36.97708808,133.62681,4.737
5964985,FALSE POSITIVE,1.851409163,133.17995,10.232
6066416,FALSE POSITIVE,1.303859704,134.21201,2.8239
1996679,FALSE POSITIVE,145.5624926,146.0588,5.4126
2849805,CONFIRMED,3.749105745,135.10837,1.9826
3114811,CONFIRMED,11.08956602,141.76142,6.2877
2853446,CANDIDATE,7.37290344,137.60991,2.172
3003992,FALSE POSITIVE,7.24476126,139.10497,2.3145
3942446,CANDIDATE,119.0624882,149.22223,3.1188
3554031,CONFIRMED,8.70798309,363.05638,2.4904
3554031,CANDIDATE,14.8623076,354.57297,3.161
3554031,CONFIRMED,4.17634276,352.99674,2.335
8394721,CONFIRMED,27.40229859,133.6284,6.8491
7295235,CONFIRMED,3.179267286,261.841607,1.0246
2302548,CONFIRMED,10.38122447,268.02421,2.715
2302548,CONFIRMED,24.5709023,135.87209,3.587
10743597,FALSE POSITIVE,81.221876,184.26164,4.1135
10743597,FALSE POSITIVE,0.817026268,132.835239,2.0799
9818381,CONFIRMED,3.024092505,132.4168573,2.8021
6124941,FALSE POSITIVE,5.670155713,136.201739,0.9361
6060203,CONFIRMED,1.022678654,133.45422,1.3712
5880320,CONFIRMED,12.10968709,140.21258,6.3461
5880320,CONFIRMED,4.75796103,137.69636,4.66
5880320,CONFIRMED,20.4972755,147.43894,8.536
3003992,FALSE POSITIVE,13.55480534,139.81609,2.288
6307537,FALSE POSITIVE,29.74454668,172.386652,23.2842
6359798,FALSE POSITIVE,14.15402428,140.698466,4.47001
6311681,FALSE POSITIVE,0.844786082,134.216987,3.5289
6365321,FALSE POSITIVE,0.848483947,133.585301,1.4451
6301035,FALSE POSITIVE,11.99097576,143.28437,5.7401
3859079,CONFIRMED,53.5292702,147.86464,5.668
3557493,FALSE POSITIVE,0.393726813,133.310396,2.95
4061149,CONFIRMED,2.757584622,133.05017,0.9267
3444588,CONFIRMED,0.928310036,133.80358,1.1899
8394721,CONFIRMED,13.48457668,136.61808,5.0197
3962243,CONFIRMED,31.8841473,160.20696,6.122
10743597,CANDIDATE,16.15811112,143.00233,6.049
10015516,FALSE POSITIVE,67.69213907,138.534171,51.349
10154388,CONFIRMED,12.06222962,138.22229,2.0584
1432789,CONFIRMED,9.93146307,136.49128,5.678
1718189,CONFIRMED,21.85362905,144.32031,3.439
5880320,CONFIRMED,8.19345065,138.99617,5.234
5130369,FALSE POSITIVE,19.97867,137.17061,10.168
6037187,CONFIRMED,41.8059544,142.81919,6.057
6147122,FALSE POSITIVE,15.45158184,142.21096,2.406
8257407,FALSE POSITIVE,89.69816853,176.3060152,5.5418
8218274,FALSE POSITIVE,1.187352427,133.465454,4.999
3964562,FALSE POSITIVE,3.012476582,135.259271,3.1424
5735762,CONFIRMED,4.77800306,124.061465,2.7361
6292162,FALSE POSITIVE,7.814839231,357.519981,3.0122
6307521,FALSE POSITIVE,29.7452499,157.38519,22.695
6359320,CONFIRMED,5.32667299,357.12617,3.4045
3848972,FALSE POSITIVE,0.741057213,131.947273,1.05299
3860441,FALSE POSITIVE,2.988085455,133.27252,3.68
3765771,FALSE POSITIVE,2.783883492,133.227846,2.4546
3557341,FALSE POSITIVE,0.393727296,178.587454,3.02
3859628,CONFIRMED,8.17242644,361.20157,3.902
3644071,CANDIDATE,1295.362215,176.10646,28.297
1718189,CONFIRMED,13.0607936,137.63148,3.215
1431122,CANDIDATE,4.2989201,132.86187,2.747
3858949,FALSE POSITIVE,25.9518461,154.88212,14.581
3858824,FALSE POSITIVE,25.9518536,154.88278,14.755
2157247,FALSE POSITIVE,5.68628739,135.89269,17.573
7601633,FALSE POSITIVE,15.66388695,147.395712,2.4775
8242681,FALSE POSITIVE,4.020628573,133.638478,4.4085
8260218,CANDIDATE,5.714817603,355.00831,3.14126
8246781,FALSE POSITIVE,185.0228822,273.185533,4.87326
8264070,FALSE POSITIVE,2.897432135,450.75739,3.1793
8222813,CONFIRMED,8.70420525,357.55941,2.9385
6359320,CONFIRMED,8.1280933,358.68367,3.727
6359320,CANDIDATE,2.83668931,353.81531,3.031
6362874,CONFIRMED,0.974868896,133.076265,1.6191
6272413,CONFIRMED,4.89721006,133.39852,1.812
8279765,FALSE POSITIVE,2.757794163,135.232863,2.7644
8330548,FALSE POSITIVE,1.914158508,134.644919,3.2917
3348082,FALSE POSITIVE,3.98216698,135.52749,2.396
3853673,FALSE POSITIVE,0.643794198,133.984483,1.5662
3447722,CONFIRMED,16.08832318,139.49184,5.731
3447722,CONFIRMED,10.30067919,142.74251,4.885
3447722,CONFIRMED,35.6757453,145.00717,7.381
3447722,CANDIDATE,1.00861677,132.109479,0.91
1432214,FALSE POSITIVE,161.7883271,214.039,5.31
2165002,CONFIRMED,16.56806842,146.15285,4.2647
2165002,CONFIRMED,47.3329299,151.41614,2.708
2441728,FALSE POSITIVE,0.856895349,133.67521,1.3078
1871056,CONFIRMED,40.8065333,155.71586,13.135
