# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Mar 12 08:21:15 2022
#
# User preference: *
#
# COLUMN tfopwg_disp:    TFOPWG Dispostion (CP | FP | KP | PC)
# COLUMN tid:            TESS Input Catalog ID
#
tfopwg_disp,tid
FP,334911765
PC,302659412
PC,356747847
FP,400323948
PC,234519192
PC,318828309
PC,179319057
FP,141663464
PC,190271688
PC,242083025
FP,295354126
PC,242120884
PC,320079492
APC,210445631
FP,293708935
CP,441462736
PC,162695785
FP,253132689
PC,267414551
PC,47617161
APC,295562522
PC,467281353
APC,329888006
FP,383531859
FP,458856474
FP,458857720
PC,12421862
FP,127793615
PC,378613125
PC,437329044
FP,89535068
PC,162246865
APC,469212332
APC,468997317
APC,349088467
FP,161156159
FP,324395151
PC,309792357
FP,457939414
FP,82707763
FP,147340931
FP,453464017
PC,445903569
PC,299023386
FP,275384718
PC,142378043
FP,429295277
APC,447206604
CP,410214986
PC,371188886
PC,118084044
FP,356453768
PC,58463434
FP,439610306
PC,147660886
FA,41173048
PC,219466784
PC,70887357
PC,243187830
CP,350618622
PC,350618622
PC,26547036
KP,136916387
KP,138294130
PC,188589164
KP,198588220
PC,368287008
PC,219508169
PC,219508169
FP,357416482
PC,357501308
PC,159781361
PC,355509914
KP,39903405
KP,236312126
FP,11996814
PC,16884216
KP,255930614
PC,394050135
PC,407059875
FP,335996558
FP,336456596
FP,445254275
FA,259962054
APC,422656370
PC,470127886
APC,470159478
PC,53617134
FP,427279997
PC,53709089
PC,368320811
PC,405559035
APC,235937532
PC,237071229
PC,281781375
PC,427730490
FP,54364414
FP,269424395
PC,346929661
FP,270333769
PC,347013211
PC,468574941
FP,363761216
PC,159873822
PC,314835525
PC,281575427
PC,316468545
PC,375850439
FP,1100766816
FP,315755496
PC,378355116
APC,322062001
PC,396356111
PC,229888286
FP,326732851
FP,403308915
PC,55650590
PC,285542903
FP,327577308
FP,373785851
PC,334811204
KP,115524421
APC,356710041
FP,141663460
PC,147951030
PC,417931300
PC,198187049
FP,260271203
PC,233182695
PC,198360694
PC,900715901
PC,441642457
PC,158075010
PC,23814735
CP,27491137
PC,27491137
PC,230075227
PC,159244568
PC,224298134
PC,224298134
PC,314865962
PC,367739494
PC,321669174
PC,160039081
PC,233633993
PC,441738827
FP,441738827
PC,103633672
PC,230387153
PC,230387153
PC,219462190
PC,441765914
PC,341815197
PC,52204645
PC,233721037
PC,219778329
PC,393965778
PC,402898317
PC,356016119
PC,235678745
PC,235678745
PC,142748283
PC,142748283
FP,279982557
PC,356700488
PC,230386397
PC,141608198
PC,219436394
PC,165527918
PC,289590465
PC,160491359
PC,367630162
PC,367630162
PC,367630162
PC,367630162
PC,156199502
FP,393911494
PC,446549906
APC,347538174
CP,392476080
APC,300293197
PC,394029948
FP,356235833
PC,427320001
PC,1400212743
PC,9828416
FP,54464870
FP,422838133
FP,279212407
FP,17416749
CP,236387002
PC,206609630
PC,389900760
APC,88996391
KP,311408969
PC,105840719
KP,159742538
KP,116242971
KP,116264089
